"","mu_per_read","mu_per_position","q01_per_position","q25_per_position","q50_per_position","q75_per_position","q99_per_position"
"1",39.11,31.3766129998801,2,32,32,32,32
"2",38.15,31.6526706883465,12,32,32,32,32
"3",40.35,35.9281834158811,27,37,37,37,37
"4",40.35,36.3919156414763,22,37,37,37,37
"5",39.83,36.588432656974,27,37,37,37,37
"6",40.4,40.1668130990415,27,41,41,41,41
"7",40.35,40.4563099041534,32,41,41,41,41
"8",40.49,40.4400559105431,32,41,41,41,41
"9",40.35,40.3722843450479,27,41,41,41,41
"10",40.62,40.5069089456869,32,41,41,41,41
"11",40.31,40.4901357827476,32,41,41,41,41
"12",40.44,40.4950479233227,32,41,41,41,41
"13",40.41,40.4992811501597,32,41,41,41,41
"14",37.62,40.4860223642173,27,41,41,41,41
"15",39.76,40.4281549520767,27,41,41,41,41
"16",37.99,40.395607028754,27,41,41,41,41
"17",40.35,40.4631389776358,27,41,41,41,41
"18",33.53,40.4635383386581,27,41,41,41,41
"19",39.82,40.4644968051118,27,41,41,41,41
"20",37.66,40.4481230031949,27,41,41,41,41
"21",39.17,40.4468450479233,27,41,41,41,41
"22",40.06,40.3859424920128,27,41,41,41,41
"23",40.09,40.368250798722,27,41,41,41,41
"24",40.54,40.3275559105431,27,41,41,41,41
"25",40.45,40.3605431309904,27,41,41,41,41
"26",40.01,40.4117012779553,27,41,41,41,41
"27",40.7,40.3906948881789,27,41,41,41,41
"28",29.2,40.3204073482428,22,41,41,41,41
"29",40.5,40.3420926517572,22,41,41,41,41
"30",39.68,40.3099440894569,22,41,41,41,41
"31",39.72,40.2799920127796,22,41,41,41,41
"32",39.32,40.3089057507987,22,41,41,41,41
"33",34.86,40.3916932907348,27,41,41,41,41
"34",40.61,40.3528354632588,27,41,41,41,41
"35",38.78,40.3799121405751,27,41,41,41,41
"36",38.54,40.3990015974441,27,41,41,41,41
"37",40.37,40.4053363157054,27,41,41,41,41
"38",39.93,40.4327368589231,27,41,41,41,41
"39",39.99,40.389696485623,27,41,41,41,41
"40",40.06,40.2516775842786,22,41,41,41,41
"41",40.05,40.3059504792332,27,41,41,41,41
"42",30.83,40.3015575079872,22,41,41,41,41
"43",40.58,40.3447284345048,27,41,41,41,41
"44",39.19,40.2842651757189,22,41,41,41,41
"45",40.22,40.2977635782748,22,41,41,41,41
"46",40.36,40.2476837060703,22,41,41,41,41
"47",40.58,40.2776757188498,22,41,41,41,41
"48",40.66,40.3194089456869,22,41,41,41,41
"49",40.58,40.2964131650423,22,41,41,41,41
"50",40.7,40.2869068541301,22,41,41,41,41
"51",40.62,40.2500798722045,22,41,41,41,41
"52",40.66,40.2705445247893,22,41,41,41,41
"53",39.62,40.2721824937078,22,41,41,41,41
"54",39.58,40.2572284345048,22,41,41,41,41
"55",40.7,40.2422911008148,22,41,41,41,41
"56",40.4,40.2558316024924,22,41,41,41,41
"57",40.66,40.2416932907348,22,41,41,41,41
"58",40.7,40.165002396549,22,41,41,41,41
"59",40.35,40.2357005911487,22,41,41,41,41
"60",40.66,40.2503594823454,22,41,41,41,41
"61",40.66,40.1616472279917,22,41,41,41,41
"62",40.7,40.228714057508,22,41,41,41,41
"63",40.66,40.2129392971246,22,41,41,41,41
"64",40.35,40.1027555910543,22,41,41,41,41
"65",40.7,40.1744408945687,22,41,41,41,41
"66",40.66,40.168637162486,22,41,41,41,41
"67",39.95,40.1689696485623,22,41,41,41,41
"68",40.65,40.0806709265176,22,41,41,41,41
"69",40.66,40.0498402555911,12,41,41,41,41
"70",40.58,40.0643370607029,12,41,41,41,41
"71",40.66,40.0801246205464,22,41,41,41,41
"72",40.58,40.0311151941205,12,41,41,41,41
"73",36.96,40.0629892954146,22,41,41,41,41
"74",40.7,40.0546325878594,12,41,41,41,41
"75",40.7,40.0275159744409,12,41,41,41,41
"76",40.58,40.0052715654952,12,41,41,41,41
"77",40.66,39.3208067092652,12,41,41,41,41
"78",40.57,39.8513178913738,12,41,41,41,41
"79",40.7,39.9208865814696,12,41,41,41,41
"80",40.58,40.0241214057508,22,41,41,41,41
"81",39.56,40.114696485623,22,41,41,41,41
"82",40.5,40.0979233226837,22,41,41,41,41
"83",40.58,40.0525159744409,12,41,41,41,41
"84",40.7,40.1003756093663,22,41,41,41,41
"85",39.97,40.0922855658983,22,41,41,41,41
"86",40.37,39.9949680511182,12,41,41,41,41
"87",40.24,40.0060702875399,12,41,41,41,41
"88",39.74,40.0517172523962,12,41,41,41,41
"89",40.66,40.0552115376933,12,41,41,41,41
"90",40.7,40.0423722044728,12,41,41,41,41
"91",40.66,39.9457268370607,12,41,41,41,41
"92",40.45,39.9199952069021,12,41,41,41,41
"93",40.57,39.969923310433,12,41,41,41,41
"94",40.62,40.0791260584758,22,41,41,41,41
"95",40.45,40.0043130990415,12,41,41,41,41
"96",40.66,39.8676182479709,12,41,41,41,41
"97",40.62,39.879892954146,12,41,41,41,41
"98",40.5,39.9133785942492,12,41,41,41,41
"99",40.48,39.8943290734824,12,41,41,41,41
"100",40.5,39.8873621984343,12,41,41,41,41
"101",40.7,31.3766129998801,2,32,32,32,32
"102",40.3,31.6526706883465,12,32,32,32,32
"103",39.51,35.9281834158811,27,37,37,37,37
"104",40.41,36.3919156414763,22,37,37,37,37
"105",40.7,36.588432656974,27,37,37,37,37
"106",40.62,40.1668130990415,27,41,41,41,41
"107",40.58,40.4563099041534,32,41,41,41,41
"108",36.14,40.4400559105431,32,41,41,41,41
"109",40.23,40.3722843450479,27,41,41,41,41
